   R       RHORPP       DRHORPP       RHORNP       DRHORNP
35.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
38.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
