   R     RHORPP_V18   DRHORPP_V18   RHORNP_V18   DRHORNP_V18
32.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
36.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
37.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
